Date,Download,Total,Monthly
2021-02-20T21:18:00,0,1773300,0
2021-02-21T21:28:16,0,1773300,0
2021-02-22T09:27:46,0,1773300,0
2021-02-22T21:29:16,0,1773300,0
2021-02-23T09:33:49,0,1773300,0
2021-02-23T21:29:41,0,1773300,0
2021-02-24T09:37:56,166193,1939493,166193
2021-02-24T21:29:28,310,1939803,166503
2021-02-25T09:38:13,9779,1949582,176282
2021-02-25T21:29:37,849,1950431,177131
2021-02-26T09:33:23,0,1950431,177131
2021-02-26T21:29:21,0,1950431,177131
2021-02-27T09:32:47,0,1950431,177131
2021-02-27T21:29:16,0,1950431,177131
2021-02-28T09:33:00,0,1950431,177131
2021-02-28T21:28:56,0,1950431,177131
