Date,Download,Total,Monthly
2021-03-01T21:30:51,0,2371112,0
2021-03-02T03:06:17,0,2371112,0
2021-03-02T09:34:44,0,2371112,0
2021-03-02T21:33:47,0,2371112,0
2021-03-03T09:44:06,0,2371112,0
2021-03-03T21:34:36,0,2371112,0
2021-03-04T09:38:51,0,2371112,0
2021-03-04T21:34:48,0,2371112,0
2021-03-05T09:38:44,0,2371112,0
2021-03-05T21:34:39,0,2371112,0
2021-03-06T09:34:48,0,2371112,0
2021-03-06T21:29:39,0,2371112,0
2021-03-07T09:38:39,0,2371112,0
2021-03-07T21:34:24,0,2371112,0
2021-03-08T09:38:54,0,2371112,0
2021-03-08T21:30:37,0,2371112,0
2021-03-09T09:39:50,0,2371112,0
