Date,Download,Total
2021-02-21T05:04:29,0,1904683
2021-02-21T21:28:19,8525,1913208
2021-02-22T09:27:50,4931,1918139
2021-02-22T21:29:20,5821,1923960
2021-02-23T09:33:52,5074,1929034
2021-02-23T21:29:44,5794,1934828
2021-02-24T09:37:59,4975,1939803
2021-02-24T21:29:31,5496,1945299
2021-02-25T09:38:16,4846,1950145
2021-02-25T21:29:40,5403,1955548
2021-02-26T09:33:26,4709,1960257
2021-02-26T21:29:24,5348,1965605
2021-02-27T09:32:51,5411,1971016
2021-02-27T21:29:19,6287,1977303
2021-02-28T09:33:04,5965,1983268
