Date,Download,Total,Monthly
2021-02-21T05:04:29,0,4383,0
2021-02-21T21:28:19,5,4388,5
2021-02-22T09:27:50,6,4394,11
2021-02-22T21:29:20,1,4395,12
2021-02-23T09:33:52,6,4401,18
2021-02-23T21:29:44,2,4403,20
2021-02-24T09:37:59,2,4405,22
2021-02-24T21:29:31,4,4409,26
2021-02-25T09:38:16,0,4409,26
2021-02-25T21:29:40,4,4413,30
2021-02-26T09:33:26,2,4415,32
2021-02-26T21:29:24,1,4416,33
2021-02-27T09:32:51,2,4418,35
2021-02-27T21:29:19,3,4421,38
2021-02-28T09:33:04,2,4423,40
2021-02-28T21:28:59,5,4428,45
