Date,Download,Total,Monthly
2021-02-21T05:04:29,0,1150,0
2021-02-21T21:28:19,6,1156,6
2021-02-22T09:27:50,3,1159,9
2021-02-22T21:29:20,2,1161,11
2021-02-23T09:33:52,2,1163,13
2021-02-23T21:29:44,7,1170,20
2021-02-24T09:37:59,5,1175,25
2021-02-24T21:29:31,8,1183,33
2021-02-25T09:38:16,9,1192,42
2021-02-25T21:29:40,5,1197,47
2021-02-26T09:33:26,3,1200,50
2021-02-26T21:29:24,6,1206,56
2021-02-27T09:32:51,3,1209,59
2021-02-27T21:29:19,7,1216,66
2021-02-28T09:33:04,7,1223,73
2021-02-28T21:28:59,9,1232,82
