Date,Download,Total,Monthly
2020-02-01T09:00:00,4352,894610,4352
2020-02-02T09:00:00,4022,898632,8374
2020-02-03T09:00:00,2811,901443,11185
2020-02-04T09:00:00,2542,903985,13727
2020-02-05T09:00:00,2510,906495,16237
2020-02-06T09:00:00,2671,909166,18908
2020-02-07T09:00:00,3060,912226,21968
2020-02-08T09:00:00,4236,916462,26204
2020-02-09T09:00:00,4196,920658,30400
2020-02-10T09:00:00,3250,923908,33650
2020-02-11T09:00:00,3596,927504,37246
2020-02-12T09:00:00,3361,930865,40607
2020-02-13T09:00:00,3339,934204,43946
2020-02-14T09:00:00,3421,937625,47367
2020-02-15T09:00:00,5006,942631,52373
2020-02-16T09:00:00,5593,948224,57966
2020-02-17T09:00:00,4089,952313,62055
2020-02-18T09:00:00,3385,955698,65440
2020-02-19T09:00:00,3456,959154,68896
2020-02-20T09:00:00,3761,962915,72657
2020-02-21T09:00:00,4126,967041,76783
2020-02-22T09:00:00,5204,972245,81987
2020-02-23T09:00:00,5260,977505,87247
2020-02-24T09:00:00,4275,981780,91522
2020-02-25T09:00:00,4051,985831,95573
2020-02-26T09:00:00,3488,989319,99061
2020-02-27T09:00:00,3638,992957,102699
2020-02-28T09:00:00,3712,996669,106411
2020-02-29T09:00:00,5068,1001737,111479
