Date,Download,Total,Monthly
2021-03-01T21:30:54,3,46,3
2021-03-02T03:06:20,0,46,3
2021-03-02T09:34:48,0,46,3
2021-03-02T21:33:51,0,46,3
2021-03-03T09:44:09,0,46,3
2021-03-03T21:34:39,1,47,4
2021-03-04T09:38:55,2,49,6
2021-03-04T21:34:52,1,50,7
2021-03-05T09:38:47,0,50,7
2021-03-05T21:34:42,0,50,7
2021-03-06T09:34:51,11,61,18
2021-03-06T21:29:42,3,64,21
2021-03-07T09:38:42,3,67,24
2021-03-07T21:34:27,2,69,26
2021-03-08T09:38:57,2,71,28
2021-03-08T21:30:40,1,72,29
2021-03-09T09:39:54,0,72,29
2021-03-09T21:30:41,0,72,29
2021-03-10T09:34:50,0,72,29
2021-03-10T21:30:46,2,74,31
2021-03-11T09:35:19,1,75,32
2021-03-11T21:30:50,2,77,34
2021-03-12T09:38:59,1,78,35
2021-03-12T21:30:38,0,78,35
2021-03-13T09:34:27,0,78,35
2021-03-13T21:30:46,3,81,38
2021-03-14T09:34:48,2,83,40
