Date,Download,Total,Monthly
2021-03-01T21:30:54,6,2936,6
2021-03-02T03:06:20,2,2938,8
2021-03-02T09:34:48,0,2938,8
2021-03-02T21:33:51,9,2947,17
2021-03-03T09:44:09,0,2947,17
2021-03-03T21:34:39,2,2949,19
2021-03-04T09:38:55,0,2949,19
2021-03-04T21:34:52,3,2952,22
2021-03-05T09:38:47,2,2954,24
2021-03-05T21:34:42,1,2955,25
2021-03-06T09:34:51,3,2958,28
2021-03-06T21:29:42,5,2963,33
2021-03-07T09:38:42,2,2965,35
2021-03-07T21:34:27,1,2966,36
2021-03-08T09:38:57,1,2967,37
2021-03-08T21:30:40,0,2967,37
2021-03-09T09:39:54,0,2967,37
2021-03-09T21:30:41,5,2972,42
2021-03-10T09:34:50,1,2973,43
2021-03-10T21:30:46,1,2974,44
2021-03-11T09:35:19,2,2976,46
2021-03-11T21:30:50,1,2977,47
2021-03-12T09:38:59,1,2978,48
