Date,Download,Total,Monthly
2020-07-01T09:00:00,2231,981515,2231
2020-07-02T09:00:00,2151,983666,4382
2020-07-03T09:00:00,2116,985782,6498
2020-07-04T09:00:00,2111,987893,8609
2020-07-05T09:00:00,2651,990544,11260
2020-07-06T09:00:00,2367,992911,13627
2020-07-07T09:00:00,2688,995599,16315
2020-07-08T09:00:00,3088,998687,19403
2020-07-09T09:00:00,2785,1001472,22188
2020-07-10T09:00:00,2495,1003967,24683
2020-07-11T09:00:00,3432,1007399,28115
2020-07-12T09:00:00,3190,1010589,31305
2020-07-13T09:00:00,3291,1013880,34596
2020-07-14T09:00:00,3232,1017112,37828
2020-07-15T09:00:00,3327,1020439,41155
2020-07-16T09:00:00,3642,1024081,44797
2020-07-17T09:00:00,3335,1027416,48132
2020-07-18T09:00:00,3322,1030738,51454
2020-07-19T09:00:00,3522,1034260,54976
2020-07-20T09:00:00,3020,1037280,57996
2020-07-21T09:00:00,3610,1040890,61606
2020-07-22T09:00:00,3916,1044806,65522
2020-07-23T09:00:00,3232,1048038,68754
2020-07-24T09:00:00,3341,1051379,72095
2020-07-25T09:00:00,3166,1054545,75261
2020-07-26T09:00:00,3766,1058311,79027
2020-07-27T09:00:00,3538,1061849,82565
2020-07-28T09:00:00,3812,1065661,86377
2020-07-29T09:00:00,3027,1068688,89404
2020-07-30T09:00:00,3222,1071910,92626
2020-07-31T09:00:00,2803,1074713,95429
