Date,Download,Total
2021-02-21T05:04:29,0,2337075
2021-02-21T21:28:19,8510,2345585
2021-02-22T09:27:50,5029,2350614
2021-02-22T21:29:20,5778,2356392
2021-02-23T09:33:52,5247,2361639
2021-02-23T21:29:44,5937,2367576
2021-02-24T09:37:59,4632,2372208
2021-02-24T21:29:31,5496,2377704
2021-02-25T09:38:16,4891,2382595
2021-02-25T21:29:40,5453,2388048
2021-02-26T09:33:26,4781,2392829
2021-02-26T21:29:24,5473,2398302
2021-02-27T09:32:51,5516,2403818
2021-02-27T21:29:19,6400,2410218
2021-02-28T09:33:04,6055,2416273
